las-ninas-merlot-cabernet-sauvignon	lec		La bouteille de 75 Cl.	7.45	-	https://www.macave.leclerc/las-ninas-merlot-cabernet-sauvignon		Vins du Monde- Vin Rouge	Chili - Colchagua Valley	2013	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.9.93 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/L/a/LAS_NINAS_MERLOT_CABERNET_SAUVIGNON.jpg	
prosecco-signore-giuseppe-4167	lec		La bouteille de 75 Cl.	5.90	-	https://www.macave.leclerc/prosecco-signore-giuseppe-4167		Vins du Monde- Effervescent	Italie - DOC Prosecco	#	Vins du Monde- Effervescent	La bouteille de 75 Cl.7.87 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/macave-vf16-signore-giuseppe-403x471.jpg	
lambrusco-sec-rouge-andrea-berro-4238	lec		La bouteille de 75 Cl.	3.90	-	https://www.macave.leclerc/lambrusco-sec-rouge-andrea-berro-4238		Vins du Monde- Effervescent	Italie - DOC Lambrusco	#	Vins du Monde- Effervescent	La bouteille de 75 Cl.5.2 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/macave-vf16-andrea-berro-lambrusco-rosso-403x471_1_1.jpg	
gruner-vetliner-eiswein	lec		La bouteille de 37,5 Cl.	12.90	-	https://www.macave.leclerc/gruner-vetliner-eiswein		Vins du Monde- Vin Blanc Moelleux	Autriche - Eiswein	2015	Vins du Monde- Vin Blanc Moelleux	La bouteille de 37,5 Cl.34.4 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/G/R/GRUNER_VELTER_EISWEN.jpg	
lambrusco-doux-rouge-andrea-berro-4242	lec		La bouteille de 75 Cl.	3.90	-	https://www.macave.leclerc/lambrusco-doux-rouge-andrea-berro-4242		Vins du Monde- Effervescent	Italie - DOC Lambrusco	#	Vins du Monde- Effervescent	La bouteille de 75 Cl.5.2 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/macave-vf16-andrea-berro-lambrusco-rosso-403x471.jpg	
deutz-blanc-de-blancs-3760143478469	lec		La bouteille de 75 Cl.	50.90	-	https://www.macave.leclerc/deutz-blanc-de-blancs-3760143478469		Champagne- Champagne Blanc de Blancs		#	Champagne- Champagne Blanc de Blancs	La bouteille de 75 Cl.67.87 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/D/E/DEUTZ_BLANC_DE_BLANCS.jpg	
billecart-salmon-blanc-de-blancs	lec		La bouteille de 75 Cl.	49.90	-	https://www.macave.leclerc/billecart-salmon-blanc-de-blancs		Champagne- Champagne Blanc de Blancs		#	Champagne- Champagne Blanc de Blancs	La bouteille de 75 Cl.66.53 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/billecart_salmon_brut_blanc_de_blancs.jpg	
ruinart-brut	lec		La bouteille de 75 Cl.	42.00	-	https://www.macave.leclerc/ruinart-brut		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.56 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/u/ruinart_brut.jpg	
bollinger-special-cuvee	lec		La bouteille de 75 Cl.	37.90	-	https://www.macave.leclerc/bollinger-special-cuvee		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.50.53 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/O/BOLLINGER_SPECIAL_CUVEE.jpg	
roederer-brut-premier	lec		La bouteille de 75 Cl.	35.50	-	https://www.macave.leclerc/roederer-brut-premier		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.47.33 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/roederer_brut_premier.jpg	
billecart-salmon-brut	lec		La bouteille de 75 Cl.	32.90	-	https://www.macave.leclerc/billecart-salmon-brut		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.43.87 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/billecart_salmon_brut.jpg	
deutz-brut-classic	lec		La bouteille de 75 Cl.	31.50	-	https://www.macave.leclerc/deutz-brut-classic		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.42 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/C/H/CHAMPAGNE_DEUTZ_CLASSIC.jpg	
pierre-launay-blanc-de-meunier	lec		La bouteille de 75 Cl.	24.90	-	https://www.macave.leclerc/pierre-launay-blanc-de-meunier		Champagne- Champagne Blanc de Meunier		#	Champagne- Champagne Blanc de Meunier	La bouteille de 75 Cl.33.2 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/P/I/PIERRE_LAUNAY_BLANC_MEUNIER.jpg	
lanson-millesime-2008	lec		La bouteille de 75 Cl.	34.90	-	https://www.macave.leclerc/lanson-millesime-2008		Champagne- Champagne Millésimé		20082008	Champagne- Champagne Millésimé	La bouteille de 75 Cl.46.53 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/a/lanson_2008.jpg	
laurent-perrier	lec		La bouteille de 75 Cl.	28.99	-	https://www.macave.leclerc/laurent-perrier		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.38.65 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/a/laurent_perrier_brut_1.jpg	
carpinius-tokaji-furmint-sec-4060	lec		La bouteille de 75 Cl.	9.50	-	https://www.macave.leclerc/carpinius-tokaji-furmint-sec-4060		Vins du Monde- Vin Blanc	Hongrie - Tokaji	2013	Vins du Monde- Vin Blanc	La bouteille de 75 Cl.12.67 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/u/furmint_sec_2013.jpg	
ayala-brut-majeur	lec		La bouteille de 75 Cl.	24.90	-	https://www.macave.leclerc/ayala-brut-majeur		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.33.2 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/A/Y/AYALA_BRUT_MAJEUR.jpg	
gosset-brut-excellence	lec		La bouteille de 75 Cl.	24.90	-	https://www.macave.leclerc/gosset-brut-excellence		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.33.2 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/G/O/GOSSET_BRUT_EXCELLENCE.jpg	
philipponnat-royal-reserve	lec		La bouteille de 75 Cl.	29.90	-	https://www.macave.leclerc/philipponnat-royal-reserve		Champagne- Effervescent		#	Champagne- Effervescent	La bouteille de 75 Cl.39.87 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsz_philipponnat_royal_reserve.jpg	
pierre-launay-millesime-2011	lec		La bouteille de 75 Cl.	20.95	-	https://www.macave.leclerc/pierre-launay-millesime-2011		Champagne- Champagne Millésimé		20112011	Champagne- Champagne Millésimé	La bouteille de 75 Cl.27.93 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/pierre_launay_millesime_nm.jpg	
pierre-launay-selection	lec		La bouteille de 75 Cl.	17.80	-	https://www.macave.leclerc/pierre-launay-selection		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.23.73 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/P/I/PIERRE_LAUNAY_SELECTION.jpg	
pierre-launay-prestige	lec		La bouteille de 75 Cl.	19.35	-	https://www.macave.leclerc/pierre-launay-prestige		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.25.8 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/P/I/PIERRE_LAUNAY_PRESTIGE.jpg	
pierre-launay-tradition-brut	lec		La bouteille de 75 Cl.	16.70	-	https://www.macave.leclerc/pierre-launay-tradition-brut		Champagne- Champagne Brut		#	Champagne- Champagne Brut	La bouteille de 75 Cl.22.27 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/P/I/PIERRE_LAUNAY_TRADITION_BRUT.jpg	
domaine-des-songes	lec		La bouteille de 75 Cl.	8.50	-	https://www.macave.leclerc/domaine-des-songes		Languedoc-Roussillon- Vin Rouge	IGP Pays d'Oc	2015	Languedoc-Roussillon- Vin Rouge	La bouteille de 75 Cl.11.33 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/o/domaine-des-songes-2015---bouteille.jpg	
chateau-la-sauvageonne-cuvee-les-ruffes-2014	lec		La bouteille de 75 Cl.	8.75	-	https://www.macave.leclerc/chateau-la-sauvageonne-cuvee-les-ruffes-2014		Languedoc-Roussillon- Vin Rouge	AOC Languedoc	2014	Languedoc-Roussillon- Vin Rouge	La bouteille de 75 Cl.11.67 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/C/H/CHATEAU_LA_SAUVAGEONNE.jpg	
chateau-la-sauvageonne-cuvee-les-ruffes-2015	lec		La bouteille de 75 Cl.	8.85	-	https://www.macave.leclerc/chateau-la-sauvageonne-cuvee-les-ruffes-2015		Languedoc-Roussillon- Vin Rouge	AOC Languedoc Terrasses du Larzac	2015	Languedoc-Roussillon- Vin Rouge	La bouteille de 75 Cl.11.8 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/C/H/CHATEAU_LA_SAUVAGEONNE_1.jpg	
le-clos-du-lucquier-philippe-2015	lec		La bouteille de 75 Cl.	8.90	-	https://www.macave.leclerc/le-clos-du-lucquier-philippe-2015		Languedoc-Roussillon- Vin Rouge	AOC Languedoc Terrasses du Larzac	2015	Languedoc-Roussillon- Vin Rouge	La bouteille de 75 Cl.11.87 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/1/c1253_dvp_-_terrasses_du_larzac_domaine_le_clos_du_lucquier_cuv_e_philippe_2015.jpg	
chateau-avernus	lec		La bouteille de 75 Cl.	8.95	-	https://www.macave.leclerc/chateau-avernus		Languedoc-Roussillon- Vin Rouge	AOC Côtes du Roussillon	2014	Languedoc-Roussillon- Vin Rouge	La bouteille de 75 Cl.11.93 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/C/H/CHATEAU_AVERNUS_2014.jpg	
les-quatre-clochers	lec		La bouteille de 75 Cl.	9.50	-	https://www.macave.leclerc/les-quatre-clochers		Languedoc-Roussillon- Vin Blanc	AOC Limoux	2012	Languedoc-Roussillon- Vin Blanc	La bouteille de 75 Cl.12.67 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/q/u/quatre_clocher_2012.jpg	
les-clos-de-paulilles-2015	lec		La bouteille de 75 Cl.	9.85	-	https://www.macave.leclerc/les-clos-de-paulilles-2015		Languedoc-Roussillon- Vin Rouge	AOC Collioure	2015	Languedoc-Roussillon- Vin Rouge	La bouteille de 75 Cl.13.13 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/L/E/LES_CLOS_PAULILLES_JULES_PAMS_2014_1.jpg	
