3555-domaine-louis-tete-beaujolais-village-les-combes-2013-	0	-	75 cl	11.9	-	-	-	#	-	
3413-pascal-aufranc-julienas-les-cerisiers-2015	0	-	75 cl	11.6	-	-	-	#	-	
3412-pascal-aufranc-chenas-2016-vignes-de-1939-	0	-	75 cl	11.5	-	-	-	#	-	
3601-domaine-du-clos-du-fief-cuvee-prestige-2015	0	-	75 cl	12.5	-	-	-	#	-	
2951-maison-trimbach-pinot-gris-vendanges-tardives-2008	0	-	75 cl	22	-	-	-	#	-	
3539-domaine-du-clos-du-fief-les-capitans-2016	0	-	75 cl	11.9	-	-	-	#	-	
3116-domaine-dupasquier-et-fils-nuits-saint-georges-2014	0	-	75 cl	27.5	-	-	-	#	-	
3470-chateau-de-briante-2015	0	-	75 cl	7.5	-	-	-	8,50	-	
2953-maison-trimbach-riesling-reserve-2014	0	-	75 cl	17.5	-	-	-	#	-	
2195-chateau-beauregard-vers-cras-2013	0	-	75 cl	24.9	-	-	-	#	-	
3318-maison-louis-jadot-santenay-clos-de-malte-2013	0	-	75 cl	22.4	-	-	-	#	-	
3119-domaine-agnes-paquet-bourgogne-chardonnay-2015	0	-	75 cl	13.2	-	-	-	#	-	
2957-besserat-de-bellefon-cuvee-des-moines-brut-magnum	0	-	150 cl	78	-	-	-	#	-	
3669-rhum-savanna-vieux-traditionnel-7-ans-d-age	0	-	70cl	58.9	-	-	-	#	-	
3266-nina-pinot-grigio-rose-2016-igt-veneto	0	-	75 cl	6.5	-	-	-	#	-	
3673-bruichladdich-islay-barley-	0	-	70 cl	58.5	-	-	-	#	-	
3659-cognac-bourgoin-microbarrique-1994-	0	-	35cl	65	-	-	-	#	-	
3723-almaviva-2015	0	-	75 cl	115	-	-	-	#	-	
3570-joseph-drouhin-coteaux-bourguignons-2015	0	-	75 cl	9.3	-	-	-	#	-	
3275-chateau-dauzac-2010	0	-	75 cl	50.8	-	-	-	#	-	
2331-yacochuya-2008-salta-argentine	0	-	#	#	-	-	-	#	-	
926-domaine-montirius-jardin-secret-2011	0	-	75 cl	15.3	-	-	-	#	-	
3683-chateau-d-issan-2013-double-magnum	0	-	300cl	240	-	-	-	#	-	
3557-domaine-louis-tete-cotes-de-brouilly-2014	0	-	75 cl	7.7	-	-	-	#	-	
3705-les-chateau-suduiraut-2007	0	-	37,5cl	34	-	-	-	#	-	
3101-chateau-cheval-blanc-2016	0	-	75 cl	630	-	-	-	#	-	
1775-domaine-de-chevalier-blanc-2014	0	-	75 cl	89	-	-	-	#	-	
3415-la-chapelle-d-ausone-2016	0	-	75 cl	190	-	-	-	#	-	
3097-chateau-lafite-rothschild-2016	0	-	#	559	-	-	-	#	-	
3558-domaine-louis-tete-morgon-les-charmeuses-2016	0	-	75 cl	8.2	-	-	-	#	-	
3089-chateau-figeac-2016	0	-	75 cl	175	-	-	-	#	-	
3192-chateau-pichon-longueville-comtesse-de-lalande-2016	0	-	75 cl	141	-	-	-	#	-	
3096-chateau-angelus-2016	0	-	75 cl	345	-	-	-	#	-	
1950-louis-roederer-cristal-2007	0	-	75 cl	165	-	-	-	#	-	
2928-krug-grande-cuvee-brut	0	-	75 cl	156	-	-	-	#	-	
3100-chateau-l-evangile-2016	0	-	75 cl	210	-	-	-	#	-	
3662-deutz-brut-magnum	0	-	150 cl	68	-	-	-	#	-	
