3122-domaine-saint-sylvestre-2014	gvp	Domaine Saint Sylvestre 2014	75 cl	19.5		https://grandsvins-prives.com/3122-domaine-saint-sylvestre-2014.html	Vin	   Languedoc     	Terrasses du Larzac	2014	Rouge		https://grandsvins-prives.com/7975-large_default/domaine-saint-sylvestre-2014.jpg	
3390-domaine-saint-andre-de-figuiere-premiere-blanc-2016-	gvp	Domaine Figuière - Première Blanc 2016	75 cl	14		https://grandsvins-prives.com/3390-domaine-saint-andre-de-figuiere-premiere-blanc-2016-.html	Vin	   Provence     	Côtes de Provence	2016	Blanc		https://grandsvins-prives.com/8570-large_default/domaine-saint-andre-de-figuiere-premiere-blanc-2016-.jpg	
3395-domaine-saint-andre-de-figuiere-premiere-rose-2016	gvp	Domaine Figuière - Première Rosé 2016 Magnum	150 cl	29		https://grandsvins-prives.com/3395-domaine-saint-andre-de-figuiere-premiere-rose-2016.html	Vin	        	Côtes de Provence	2016	Rose		https://grandsvins-prives.com/8566-large_default/domaine-saint-andre-de-figuiere-premiere-rose-2016.jpg	
3130-chateau-de-lastours-grande-reserve-2011	gvp	Château De Lastours - Grande Réserve 2011	75 cl	19		https://grandsvins-prives.com/3130-chateau-de-lastours-grande-reserve-2011.html	Vin	   Languedoc     	Corbières	2011	Rouge		https://grandsvins-prives.com/7968-large_default/chateau-de-lastours-grande-reserve-2011.jpg	
216-chateau-malherbe-cuvee-malherbe-rouge-2011	gvp	Château Malherbe - Cuvée Malherbe Rouge 2011	75 cl	31.5	34,00	https://grandsvins-prives.com/216-chateau-malherbe-cuvee-malherbe-rouge-2011.html	Vin	  Côtes-de-Provence     	Côtes de Provence	2011	Rouge		https://grandsvins-prives.com/8998-large_default/chateau-malherbe-cuvee-malherbe-rouge-2011.jpg	
3338-chateau-de-l-escarelle-2015-cuvee-1718-	gvp	Château De L'Escarelle 2015- Cuvée 1718	75 cl	17.9		https://grandsvins-prives.com/3338-chateau-de-l-escarelle-2015-cuvee-1718-.html	Vin	   Provence     	Coteaux Varois en Provence	2015	Rose		https://grandsvins-prives.com/9062-large_default/chateau-de-l-escarelle-2015-cuvee-1718-.jpg	
3319-chateau-de-la-salade-saint-henri-mille-huit-cent-trois-2015	gvp	Château De La Salade Saint-Henri - Mille Huit Cent Trois 2015	75 cl	12		https://grandsvins-prives.com/3319-chateau-de-la-salade-saint-henri-mille-huit-cent-trois-2015.html	Vin	   Languedoc     	Pic Saint Loup	2015	Rouge		https://grandsvins-prives.com/8410-large_default/chateau-de-la-salade-saint-henri-mille-huit-cent-trois-2015.jpg	
3129-chateau-de-lastours-simone-descamps-2016	gvp	Château De Lastours - Simone Descamps 2016 - Blanc	75 cl	13		https://grandsvins-prives.com/3129-chateau-de-lastours-simone-descamps-2016.html	Vin	   Languedoc     	Corbières	2016	Blanc		https://grandsvins-prives.com/7967-large_default/chateau-de-lastours-simone-descamps-2016.jpg	
3306-roque-sestiere-carte-blanche-2014	gvp	Domaine Roque Sestière - Carte Blanche 2014	75 cl	10.5		https://grandsvins-prives.com/3306-roque-sestiere-carte-blanche-2014.html	Vin	   Languedoc     	Corbières	2014	Rouge		https://grandsvins-prives.com/9316-large_default/roque-sestiere-carte-blanche-2014.jpg	
3294-chateau-de-lancyre-la-rouviere-2015	gvp	Château De Lancyre - La Rouvière 2015	75 cl	9.95		https://grandsvins-prives.com/3294-chateau-de-lancyre-la-rouviere-2015.html	Vin	        	Languedoc	2015	Blanc		https://grandsvins-prives.com/8309-large_default/chateau-de-lancyre-la-rouviere-2015.jpg	
