xavier-vins-cotes-du-rhone-rouge-sm-16749	3	Conditionnement	6 btle	144,00		-	24,00 €/btle	-	-	
chateau-la-dominique-2016-17527	1	Conditionnement	1 btle	49,50		-	49,50 €/btle	-	-	
chateau-la-dominique-2016-17527	2	Conditionnement	6 btle	297,00		-	49,50 €/btle	-	-	
chateau-la-dominique-2016-17527	3	Conditionnement	12 btle	594,00		-	49,50 €/btle	-	-	
chateau-la-dominique-2016-17527	4	Conditionnement	1 Mag	99,00		-	99,00 €/Mag	-	-	
chateau-pontet-canet-2015-15464	1	Conditionnement	1 btle	103,00		-	103,00 €/btle	-	-	
chateau-pontet-canet-2015-15464	2	Conditionnement	6 btle	618,00		-	103,00 €/btle	-	-	
chateau-pontet-canet-2015-15464	3	Conditionnement	12 btle	236,00		-	103,00 €/btle	-	-	
chateau-pontet-canet-2015-15464	4	Conditionnement	1 Mag	212,00		-	212,00 €/Mag	-	-	
xavier-vins-chateauneuf-du-pape-anonyme-2010-14786	1	Conditionnement	1 btle	39,00		-	39,00 €/btle	-	-	
xavier-vins-chateauneuf-du-pape-anonyme-2010-14786	2	Conditionnement	3 btle	93,00		-	31,00 €/btle	-	-	
xavier-vins-chateauneuf-du-pape-anonyme-2010-14786	3	Conditionnement	6 btle	186,00		-	31,00 €/btle	-	-	
y-d-yquem-2016-18236	1	Conditionnement	1 btle	141,60		-	141,60 €/btle	-	-	
y-d-yquem-2016-18236	2	Conditionnement	6 btle	849,60		-	141,60 €/btle	-	-	
y-d-yquem-2016-18236	3	Conditionnement	12 btle	699,20		-	141,60 €/btle	-	-	
y-d-yquem-2012-12395	1	Conditionnement	1 btle	139,00		-	139,00 €/btle	-	-	
y-d-yquem-2012-12395	2	Conditionnement	6 btle	834,00		-	139,00 €/btle	-	-	
y-d-yquem-2012-12395	3	Conditionnement	12 btle	668,00		-	139,00 €/btle	-	-	
chateau-chasse-spleen-2016-17446	1	Conditionnement	1 btle	25,20		-	25,20 €/btle	-	-	
chateau-chasse-spleen-2016-17446	2	Conditionnement	6 btle	151,20		-	25,20 €/btle	-	-	
chateau-chasse-spleen-2016-17446	3	Conditionnement	12 btle	302,40		-	25,20 €/btle	-	-	
chateau-chasse-spleen-2016-17446	4	Conditionnement	1 Mag	50,40		-	50,40 €/Mag	-	-	
xavier-vins-cotes-du-rhone-villages-rouge-2014-16748	1	Conditionnement	1 btle	12,00		-	12,00 €/btle	-	-	
xavier-vins-cotes-du-rhone-villages-rouge-2014-16748	2	Conditionnement	3 btle	33,00		-	11,00 €/btle	-	-	
xavier-vins-cotes-du-rhone-villages-rouge-2014-16748	3	Conditionnement	6 btle	66,00		-	11,00 €/btle	-	-	
chateau-lynch-bages-2016-17473	1	Conditionnement	1 btle	110,00		-	110,00 €/btle	-	-	
chateau-lynch-bages-2016-17473	2	Conditionnement	6 btle	660,00		-	110,00 €/btle	-	-	
chateau-lynch-bages-2016-17473	3	Conditionnement	12 btle	320,00		-	110,00 €/btle	-	-	
chateau-lynch-bages-2016-17473	4	Conditionnement	1 Mag	220,00		-	220,00 €/Mag	-	-	
xavier-vignon-chateauneuf-du-pape-arcane-v-le-pape-2010-19341	1	Conditionnement	1 btle	100,00		-	100,00 €/btle	-	-	
xavier-vignon-chateauneuf-du-pape-arcane-v-le-pape-2010-19341	2	Conditionnement	3 btle	300,00		-	100,00 €/btle	-	-	
xavier-vignon-chateauneuf-du-pape-arcane-v-le-pape-2010-19341	3	Conditionnement	6 btle	600,00		-	100,00 €/btle	-	-	
xavier-vins-vacqueyras-2015-18223	1	Conditionnement	1 btle	16,90		-	16,90 €/btle	-	-	
xavier-vins-vacqueyras-2015-18223	2	Conditionnement	3 btle	47,70		-	15,90 €/btle	-	-	
xavier-vins-vacqueyras-2015-18223	3	Conditionnement	6 btle	95,40		-	15,90 €/btle	-	-	
champagne-veuve-candel-18333	1	Conditionnement	1 btle	25,05		-	25,05 €/btle	-	-	
