chateau-vieux-gabiran-2015	8	Contenance (cl)	75 cl		
chateau-vieux-gabiran-2015	9	Degré d'alcool	14%		
chateau-vieux-gabiran-2015	10	Appellation	Bordeaux		
chateau-vieux-gabiran-2015	11	Producteur	Rougier Serge		
large-malartic-la-cave-d-augustin-florent-2015	1	Propriétaire/Domaine	Large Malartic La Cave d'Augustin Florent		
large-malartic-la-cave-d-augustin-florent-2015	2	Millésime	2015		
large-malartic-la-cave-d-augustin-florent-2015	3	Région	Bordeaux		
large-malartic-la-cave-d-augustin-florent-2015	4	Pays	France		
large-malartic-la-cave-d-augustin-florent-2015	5	Type	Vin		
large-malartic-la-cave-d-augustin-florent-2015	6	Couleur	Rouge		
large-malartic-la-cave-d-augustin-florent-2015	7	Contenance (cl)	75 cl		
large-malartic-la-cave-d-augustin-florent-2015	8	Degré d'alcool	12,5°		
large-malartic-la-cave-d-augustin-florent-2015	9	Appellation	Bordeaux		
large-malartic-la-cave-d-augustin-florent-2015	10	Producteur	La cave d'Augustin Florent		
chateau-picon-reflets-de-france-2015	1	Cépages	Cabernet Franc, Cabernet Sauvignon, Merlot		
chateau-picon-reflets-de-france-2015	2	Propriétaire/Domaine	Château Picon "Reflets de France"		
chateau-picon-reflets-de-france-2015	3	Millésime	2015		
chateau-picon-reflets-de-france-2015	4	Région	Bordeaux		
chateau-picon-reflets-de-france-2015	5	Pays	France		
chateau-picon-reflets-de-france-2015	6	Type	Vin		
chateau-picon-reflets-de-france-2015	7	Couleur	Rouge		
chateau-picon-reflets-de-france-2015	8	Contenance (cl)	75 cl		
chateau-picon-reflets-de-france-2015	9	Degré d'alcool	13,5°		
chateau-picon-reflets-de-france-2015	10	Appellation	Bordeaux		
chateau-picon-reflets-de-france-2015	11	Producteur	Reflet de France		
chateau-tartifume-caf-2016	1	Cépages	Cabernet Franc, Cabernet Sauvignon, Merlot		
chateau-tartifume-caf-2016	2	Propriétaire/Domaine	Château Tartifume		
chateau-tartifume-caf-2016	3	Millésime	2016		
chateau-tartifume-caf-2016	4	Région	Bordeaux		
chateau-tartifume-caf-2016	5	Pays	France		
chateau-tartifume-caf-2016	6	Type	Vin		
chateau-tartifume-caf-2016	7	Couleur	Rouge		
