domaine-des-roches-neuves-saumur-les-pentes-du-clos-de-l-ecotard-blanc-2015	auc	Domaine des Roches Neuves Saumur Les Pentes du Clos de l'Ecotard Blanc 2015	Bouteille / 75cl	39.9		https://www.auchan.fr/domaine-des-roches-neuves-saumur-les-pentes-du-clos-de-l-ecotard-blanc-2015/p-c1011882		Bourgogne	Saumur	2015	Blanc	75 CL	https://media1.auchan.fr/images/hc3/ha7/12859445641246.jpg	
saumur-l-insolite-2014-75cl	auc	Saumur L'insolite 2014 75cl	Bouteille / 75cl	23.9		https://www.auchan.fr/saumur-l-insolite-2014-75cl/p-c978130					#	#	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
le-coteau-blanc-saumur-collection-philippe-faure-brac-blanc-2015	auc	Le Coteau Blanc Saumur Collection Philippe Faure Brac Blanc 2015	Bouteille / 75cl	6.8	7.80	https://www.auchan.fr/le-coteau-blanc-saumur-collection-philippe-faure-brac-blanc-2015/p-c977213		Val de Loire	Saumur	2015	Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
lena-filliatreau-vieilles-vignes-saumur-champigny	auc	Lena Filliatreau-Vieilles Vignes Saumur-Champigny	Bouteille / 75cl	7.9		https://www.auchan.fr/lena-filliatreau-vieilles-vignes-saumur-champigny/p-c998601		Val de Loire	Saumur-Champigny	2015	Rouge	75 CL	https://media1.auchan.fr/images/h24/hb1/12416395313182.jpg	
prosecco-specaro-extra-dry	auc	Prosecco Specaro Extra-dry	Bouteille / 75cl	4.99		https://www.auchan.fr/prosecco-specaro-extra-dry/p-c1009615					#	#	https://media1.auchan.fr/images/h3f/h37/12895720833054.jpg	
veuve-ambal-cremant-de-bourgogne-rose-millesime	auc	Veuve Ambal Crémant de Bourgogne Rosé Millesimé	Bouteille / 75cl	8.9		https://www.auchan.fr/veuve-ambal-cremant-de-bourgogne-rose-millesime/p-c928612		Bourgogne	Crémant de Bourgogne		Rosé	75 CL	https://media1.auchan.fr/images/h60/he5/12895974850590.jpg	
veuve-ambal-cremant-de-bourgogne-brut-prestige	auc	Veuve Ambal Crémant de Bourgogne Brut Prestige	Bouteille / 75cl	7.9		https://www.auchan.fr/veuve-ambal-cremant-de-bourgogne-brut-prestige/p-c395821					#	#	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
pierre-chanau-cremant-de-bourgogne-brut-pierre-chanau	auc	PIERRE CHANAU Crémant de Bourgogne Brut Pierre Chanau	Bouteille / 75cl	7.9		https://www.auchan.fr/pierre-chanau-cremant-de-bourgogne-brut-pierre-chanau/p-c392587		Bourgogne	Crémant de Bourgogne		#	75 CL	https://media1.auchan.fr/images/hde/h78/11910134104094.jpg	
antech-blanquette-de-limoux-brut	auc	Antech Blanquette de Limoux Brut	Bouteille / 75cl	7.9		https://www.auchan.fr/antech-blanquette-de-limoux-brut/p-c960957		Languedoc Roussillon	Limoux		Blanc	75 CL	https://media1.auchan.fr/images/h34/h0b/11842588508190.jpg	
jaillance-cremant-de-bordeaux-brut	auc	Jaillance Crémant de Bordeaux Brut	Bouteille / 75cl	7.9		https://www.auchan.fr/jaillance-cremant-de-bordeaux-brut/p-c393806		Bordeaux	Crémant de Bordeaux		Blanc	75 CL	https://media1.auchan.fr/images/h66/ha4/11787415584798.jpg	
jaillance-clairette-de-die-brut	auc	Jaillance Clairette de Die Brut	Bouteille / 75cl	7.2		https://www.auchan.fr/jaillance-clairette-de-die-brut/p-c851382		la Vallée du Rhône	Clairette de Die		#	75 CL	https://media1.auchan.fr/images/h65/h1f/11861074247710.jpg	
